SaleID,price
720326,0
714316,0
704693,0
624972,0
669753,0
420292,0
723366,0
655257,0
589376,0
548063,0
416593,0
523671,0
658315,0
589799,0
455972,0
611291,0
414693,0
638545,0
711425,0
634319,0
657575,0
605649,0
655353,0
724114,0
416284,0
447345,0
545441,0
465423,0
371813,0
388932,0
614459,0
619312,0
615511,0
474783,0
519491,0
396146,0
504154,0
721824,0
664164,0
724246,0
676838,0
597834,0
442397,0
569658,0
540504,0
604322,0
485754,0
721724,0
413507,0
671893,0
560945,0
627467,0
606167,0
437663,0
549574,0
516446,0
731452,0
613846,0
628376,0
658107,0
677951,0
649173,0
607430,0
415504,0
497034,0
649323,0
449847,0
416865,0
611541,0
415335,0
391685,0
391294,0
604677,0
532889,0
666631,0
642836,0
716570,0
636469,0
624432,0
709310,0
405339,0
541415,0
584803,0
519920,0
409752,0
452595,0
507891,0
590430,0
406457,0
420293,0
691390,0
736167,0
656282,0
666130,0
421098,0
578089,0
504835,0
434243,0
473950,0
629255,0
616538,0
417869,0
453720,0
681528,0
378856,0
478530,0
596490,0
623989,0
575701,0
564873,0
632860,0
517031,0
647666,0
695075,0
587765,0
548049,0
374945,0
702420,0
397018,0
605149,0
664964,0
554282,0
449839,0
496200,0
640877,0
533302,0
573623,0
686913,0
493114,0
513207,0
673293,0
691698,0
438580,0
371386,0
571547,0
589384,0
435997,0
615912,0
696240,0
673098,0
717938,0
480328,0
585590,0
651790,0
403729,0
610056,0
515752,0
665378,0
570176,0
499074,0
680311,0
592214,0
492571,0
598237,0
661377,0
725986,0
605485,0
604385,0
383704,0
615965,0
605913,0
626474,0
470479,0
408701,0
393112,0
446944,0
665424,0
662797,0
654859,0
568421,0
730146,0
630433,0
559781,0
490728,0
493738,0
476976,0
481711,0
488890,0
496352,0
539364,0
673111,0
709285,0
502185,0
592752,0
733175,0
604046,0
513534,0
541227,0
459102,0
410836,0
639879,0
415431,0
409218,0
547176,0
670437,0
462739,0
642262,0
444496,0
525072,0
411076,0
428512,0
696520,0
387819,0
405096,0
708802,0
739925,0
685700,0
541877,0
396179,0
727835,0
586992,0
498306,0
625829,0
573295,0
663339,0
507389,0
390317,0
541998,0
609889,0
739354,0
413483,0
669712,0
371706,0
594775,0
420940,0
452214,0
718705,0
548392,0
454665,0
513438,0
379304,0
434439,0
427186,0
546682,0
529682,0
399550,0
481559,0
